,move,score_diff
0,1,-4
1,2,-9
2,3,5
3,4,16
4,5,0
5,6,0
6,7,-6
7,8,-10
8,9,-44
9,10,12
10,11,-49
11,12,10
12,13,5
13,14,-4
14,15,-30
15,16,-3
16,17,5
17,18,-6
18,19,-20
19,20,-4
20,21,5
21,22,-7
22,23,5
23,24,0
24,25,-15
25,26,5
26,27,0
27,28,-4
28,29,5
29,30,0
30,31,-2
31,32,0
