,move,score_diff
0,1,-7
1,2,-3
2,3,-19
3,4,-4
4,5,-23
5,6,2
6,7,-4
7,8,3
8,9,9
9,10,-2
10,11,-58
11,12,-9
12,13,0
13,14,15
14,15,-15
15,16,-6
16,17,14
17,18,-6
18,19,-10
19,20,-1
20,21,-3
21,22,2
22,23,-8
23,24,-1
24,25,2
25,26,-2
26,27,-3
27,28,2
28,29,-18
29,30,2
30,31,-3
31,32,-16
32,33,-5
